CountryName,CountryCode,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",High-technology exports (% of manufactured exports),Hightechexports,Patentnonresidents,Patentresidents,Rdexpenditure,Researchers in R&D (per million people),Scientific and technical journal articles,Technicians in R&D (per million people),"Trademark applications, direct nonresident","Trademark applications, direct resident","Trademark applications, total"
St. Lucia,LCA,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lucia,LCA,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Least developed countries: UN classification,LDC,1987,1136343.132,2804996.606,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,1997,0,0,0,0,193,81,0,0,0,0,2035,2891,4926
Luxembourg,LUX,2015,3584436526,1898663569,6.823001118,673934496,119,128,1.28773,5058.27794,797.9,3144.53986,0,0,0
Middle East & North Africa,MEA,2009,2902653063,1989611418,0,10525864345,0,0,0,0,54016.88759,0,34523,0,99870
Mali,MLI,1997,1862355.73,0,6.801520662,136329,0,0,0,0,0,0,0,0,4
Mali,MLI,1999,1437390.365,0,3.852016614,905489,0,0,0,0,0,0,0,0,5
Malta,MLT,1998,11585515.72,990054.7977,60.41666812,1002197701,26,8,0,0,0,0,1366,239,1605
Mongolia,MNG,2017,15696187.19,999069.9242,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,1979,0,0,0,0,2087,1124,0,0,0,0,2529,1980,4509
Other small states,OSS,1971,0,0,0,0,0,0,0,0,0,0,0,0,0
Other small states,OSS,1989,14004831.36,1286950.221,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,2002,18000000,6000000,0.674505048,56799086,1057,55,0.2199,0,0,0,1560,5342,6902
Papua New Guinea,PNG,1988,0,0,0,0,0,0,0,0,0,0,258,62,320
West Bank and Gaza,PSE,2004,1871006.588,26851.81463,0.325369748,527523,0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,1982,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1994,0,0,50.65897587,40313852578,0,0,0,0,0,0,0,0,11349
Sierra Leone,SLE,1970,0,0,0,0,25,0,0,0,0,0,302,26,328
South Sudan,SSD,2016,1770000,0,0,0,0,0,0,0,2.5,0,0,0,0
Sao Tome and Principe,STP,2008,0,0,0.044979683,177,0,0,0,0,0,0,134,1,135
Syrian Arab Republic,SYR,1995,0,0,0,0,68,129,0,0,0,0,0,0,2931
Timor-Leste,TLS,2008,222496,0,0,0,0,0,0,0,1.3,0,0,0,0
Middle East & North Africa (IDA & IBRD countries),TMN,1981,26485775.8,2320052.911,0,0,2155,456,0,0,0,0,4466,3445,7911
Ukraine,UKR,2017,430000000,72000000,0,0,0,0,0,0,0,0,0,0,0
Pre-demographic dividend,PRE,2010,369627040.2,68222977.54,0,0,0,0,0,0,7665.876982,0,0,0,0
San Marino,SMR,2007,0,0,0,0,0,0,0,0,2.9,0,1516,0,1727
Sub-Saharan Africa (excluding high income),SSA,1983,235130279.9,26880980.78,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,1986,0,0,0,0,1334,794,0,0,0,0,10925,8069,18994
Bahrain,BHR,1976,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,2014,237300000,39100000,3.929016584,660475200,105,652,0.52354,0,1053,0,6259,2055,8314
Belize,BLZ,2004,421590.46,0,0.000271206,62,16,0,0,0,4.5,0,732,81,813
Canada,CAN,1961,0,0,0,0,23219,1310,0,0,0,0,2767,3514,6281
Central Europe and the Baltics,CEB,1983,0,0,0,0,3528,14420,0,0,0,0,1194,1070,2264
Chile,CHL,1982,33000000,0,0,0,665,96,0,0,0,0,0,0,0
Colombia,COL,1982,11000000,26000000,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,1968,0,0,0,0,164,14,0,0,0,0,0,0,0
Cuba,CUB,2011,0,0,0,0,184,62,0.27192,0,1588.8,0,1618,256,1874
East Asia & Pacific (excluding high income),EAP,1997,1505125568,117113768.1,27.14417074,0,32138,13517,0.565929505,438.3547137,0,0,75068,142166,217234
Europe & Central Asia,ECS,1978,3478146638,2164650836,0,0,0,0,0,0,0,0,0,0,0
"Egypt, Arab Rep.",EGY,1999,328900000,46500000,0.266107648,3458267,1146,536,0.18627,0,0,0,2679,0,2679
"Egypt, Arab Rep.",EGY,1990,0,0,0,0,511,278,0,0,0,0,2709,0,2709
Ghana,GHA,1992,900000,0,2.192211094,1203175,11,0,0,0,0,0,356,101,457
Guyana,GUY,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,HUN,2008,2596029138,1706117940,23.30431461,20254255000,89,683,0.98298,1841.06598,6408.5,521.05829,4200,3291,7491
IDA blend,IDB,1978,7399739.647,1778241.383,0,0,1063,37,0,0,0,0,2955,2196,5151
Indonesia,IDN,1960,0,0,0,0,0,0,0,0,0,0,540,2234,2774
India,IND,1983,24571485.05,896690.4899,0,0,0,0,0,0,0,0,2821,13049,15870
Israel,ISR,1968,3000000,0,0,0,1816,290,0,0,0,0,2640,400,3040
Jordan,JOR,1974,0,0,0,0,59,1,0,0,0,0,515,40,555
Cambodia,KHM,2003,6011050.77,390158.2116,0.344233419,7017878,0,0,0,0,25.3,0,548,279,827
Late-demographic dividend,LTE,2001,6302337946,522035281.3,22.0757754,1.55E+11,81597,67296,0.868721239,815.1859267,0,0,197923,450307,656904
Monaco,MCO,2000,0,0,0,0,7,6,0,0,0,0,5141,380,5521
Madagascar,MDG,1995,9407750.865,759559.2525,1.213205481,612610,16,22,0,0,0,0,954,94,1048
Nigeria,NGA,1983,13804340.16,6902170.08,0,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,1978,444965266.7,292735535.7,0,0,10669,2011,0,0,0,0,0,0,0
Norway,NOR,1968,0,0,0,0,4262,987,0,0,0,0,2680,888,3568
Other small states,OSS,1981,5082179.227,47332.4097,0,0,0,0,0,0,0,0,0,0,0
Peru,PER,1963,0,0,0,0,0,0,0,0,0,0,0,0,3435
Philippines,PHL,1986,20000000,0,0,0,1379,75,0,0,0,0,1476,2209,3685
Poland,POL,1971,0,0,0,0,1903,5422,0,0,0,0,546,247,793
Pre-demographic dividend,PRE,1997,89209868.96,33034545.93,2.819292629,0,0,0,0,0,0,0,0,0,0
"Korea, Dem. People’s Rep.",PRK,1999,0,0,0,0,0,0,0,0,0,0,1972,0,1972
"Korea, Dem. People’s Rep.",PRK,1978,0,0,0,0,0,1986,0,0,0,0,0,0,0
Qatar,QAT,2016,0,0,2.197910643,4815196,548,16,0,0,1310.7,0,0,0,0
Rwanda,RWA,2011,0,0,6.160385983,1403086,0,0,0,0,53.2,0,0,0,0
Senegal,SEN,1982,365178.6873,1734598.765,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,2002,0,0,31.07932224,960168,0,0,0,0,0,0,710,0,710
El Salvador,SLV,2016,136773816.8,55829521.84,4.61690634,191387030,171,4,0,0,28.5,0,6999,3621,10620
Sub-Saharan Africa,SSF,1962,8399996.643,2799998.881,0,0,0,0,0,0,0,0,0,0,0
Small states,SST,2016,1020652297,544590606,6.040402727,0,0,0,0,0,6886.230711,0,0,0,0
Slovak Republic,SVK,1997,85453466.19,16631985.28,3.613901802,290184717,1578,224,1.05283,1857.95642,0,802.82756,7999,1857,9856
Slovak Republic,SVK,2016,587654888.6,29892256.29,9.825915383,6851100091,15,220,0,0,5359.4,0,1922,2480,4402
Slovenia,SVN,2007,168809323.5,18717267.78,5.013001074,1170874426,15,331,1.42382,3097.96714,2754.2,1531.13928,3563,1493,5056
Sweden,SWE,2006,1690721321,3988032065,16.10376752,18364281859,413,2446,3.49928,6132.65772,16633.8,0,4600,8985,13585
Tonga,TON,2010,0,0,0.038764595,242,0,0,0,0,1.4,0,0,0,0
South Asia (IDA & IBRD),TSA,1995,111498117.8,8764042.455,4.260054091,0,5973,1715,0,0,0,0,10688,46626,57314
South Asia (IDA & IBRD),TSA,1976,17776013.3,111523.9269,0,0,2425,1409,0,0,0,0,2361,11683,14044
Trinidad and Tobago,TTO,1998,206404.6571,0,1.361824396,13508367,107,0,0.12715,0,0,0,956,258,1214
United States,USA,2002,19493000000,53859000000,31.74550081,1.62E+11,150200,184245,2.54446,3630.61832,0,0,30945,181693,212638
"Venezuela, RB",VEN,2014,400000000,0,0,0,0,0,0,0,1248,0,0,0,0
South Africa,ZAF,1994,113789335.3,51273706.56,4.876683179,479765638,4968,935,0,0,0,0,6280,7783,14063
Cuba,CUB,2007,0,0,0,0,210,74,0.43615,0,1130,0,1954,268,2222
Thailand,THA,1987,64434863.56,78469.95538,0,0,814,68,0,0,0,0,4053,6557,10610
Argentina,ARG,1971,0,0,0,0,2327,1081,0,0,0,0,4033,15975,20008
Australia,AUS,1998,1114256382,309259521.4,11.46150241,1568134784,16063,1862,1.51413,3360.08937,0,0,11243,18928,30171
Burkina Faso,BFA,2007,166921.6455,102239.5079,5.669520092,1869252,0,0,0.1108,0,112.9,0,0,0,0
Burkina Faso,BFA,2012,301649,746287.461,8.204161238,10454118,0,0,0,0,209.3,0,0,0,0
Bangladesh,BGD,1986,0,0,0,0,77,16,0,0,0,0,299,1485,1784
Bahrain,BHR,2003,0,0,0.115940633,706072,0,0,0,0,126.5,0,2176,382,2558
"Bahamas, The",BHS,1982,3400000.003,0,0,0,50,3,0,0,0,0,316,33,349
Belize,BLZ,1997,500000,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,2009,9317683.234,25642.8863,0,0,0,0,0.20903,0,0,0,0,0,0
Barbados,BRB,1987,15450000,150000,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,1993,20381969.86,1468948.037,4.163677452,417095112,2040,893,0,0,0,0,7483,5809,13292
Dominica,DMA,2004,80211.11111,0,7.904899179,1752442,0,0,0,0,2.4,0,37,134,171
Europe & Central Asia,ECS,2009,1.29E+11,96158424800,15.06214811,5.57E+11,42736,148934,1.817902218,2664.176469,652018.0001,819.3296032,221880,480038,702916
Euro area,EMU,1987,6367165502,2940377769,0,0,31708,55031,0,0,0,0,92767,155247,272158
Fiji,FJI,2003,1002239.011,1119382.235,1.219852376,2498841,0,0,0,0,47.1,0,0,0,0
Greece,GRC,1990,15000000,0,2.393003914,103627118,466,241,0,0,0,0,0,0,0
Greenland,GRL,1997,0,0,62.23890789,4741182,0,0,0,0,0,0,0,0,0
Indonesia,IDN,1991,0,0,1.898487722,224574514,1280,34,0,0,0,0,2417,13363,15780
Israel,ISR,2005,541900000,574100000,14.02500387,4969659000,5157,1669,4.03952,0,10398.4,0,6159,2816,8975
St. Kitts and Nevis,KNA,1982,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao PDR,LAO,1995,0,0,0,0,0,0,0,0,0,0,860,24,884
Lao PDR,LAO,2008,0,0,0,0,0,0,0,0,35,0,0,0,0
Latin America & Caribbean,LCN,2012,10002805821,768940863.7,9.988460816,0,52806,7569,0.734765863,0,85998.93641,0,149075,319687,476258
Least developed countries: UN classification,LDC,1971,0,0,0,0,0,0,0,0,0,0,0,0,0
Low income,LIC,1998,22809823.22,1971669.669,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LIE,1988,0,0,0,0,0,0,0,0,0,0,3911,186,4097
Lower middle income,LMC,2007,4065158032,502748155.1,10.88298275,46992992570,47837,12618,0.638435863,0,68703.86345,0,117974,244626,362600
Lithuania,LTU,2004,18001567.37,795497.9151,4.721934472,253219451,44,70,0.75066,2178.4189,1182.9,453.39306,4869,1929,6798
Monaco,MCO,2003,0,0,0,0,3,5,0,0,25.7,0,3390,306,3696
Middle East & North Africa,MEA,1987,70033741.08,44610336.19,0,0,4216,1575,0,0,0,0,13540,0,18228
Mexico,MEX,1997,501300000,129900000,17.55396463,15592067852,10111,420,0.28725,218.70635,0,77.72209,13929,21497,35426
Middle East & North Africa (excluding high income),MNA,2008,385821886.8,41334881.87,0,1684175978,0,0,0,592.0118159,30494.72942,0,24838,49627,81480
Mongolia,MNG,2010,2589800,491650,0,0,69,110,0.24429,0,93.4,0,1662,539,2201
Malawi,MWI,1967,0,0,0,0,97,2,0,0,0,0,462,66,528
North America,NAC,2013,50676123212,1.33E+11,17.06731609,1.78E+11,313955,292398,2.635221232,4157.773651,495917.1433,0,81483,291674,373157
North America,NAC,1975,480000000,4310000000,0,0,61806,66227,0,0,0,0,7926,38128,46054
Namibia,NAM,1997,3428847.969,6575575.535,0,0,0,0,0,0,0,0,0,0,0
Nigeria,NGA,2001,0,0,0.366988161,204540,0,0,0,0,0,0,0,0,0
Nigeria,NGA,2004,0,0,0,0,0,0,0,0,1456.7,0,0,0,0
Nigeria,NGA,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,NRU,2003,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bank and Gaza,PSE,2002,2091422.354,529.4739066,0.494771912,641458,0,0,0,0,0,0,0,0,0
Romania,ROU,1979,0,0,0,0,869,2751,0,0,0,0,191,632,823
Senegal,SEN,1994,144091.0004,702443.6267,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1996,1993772048,51558790.56,55.71437159,58000525979,12357,224,1.31775,2551.20333,0,316.82763,0,0,13899
Solomon Islands,SLB,2012,1219729.689,226827.9793,0,136,0,0,0,0,5,0,0,0,0
El Salvador,SLV,1990,1270382.088,0,0,0,44,10,0,0,0,0,1438,1535,2973
Sub-Saharan Africa (excluding high income),SSA,2010,2333606514,184344491.6,2.826208624,2283710160,0,0,0,0,16214.12586,0,0,0,0
Turks and Caicos Islands,TCA,2009,0,0,0,88533,0,0,0,0,0,0,0,0,0
Europe & Central Asia (IDA & IBRD countries),TEC,2016,10673141692,1342505138,8.654589477,31962131594,18286,43553,0,0,161764.5,0,106212,205309,311521
Trinidad and Tobago,TTO,1968,0,0,0,0,125,2,0,0,0,0,534,80,614
Ukraine,UKR,1996,0,0,3.89147584,379872431,1257,3636,0,0,0,0,5670,1378,7048
Ukraine,UKR,2004,268000000,40000000,6.296997836,1461350770,1689,4090,1.08187,0,5635.6,0,9140,11527,20667
Uruguay,URY,1966,0,0,0,0,293,224,0,0,0,0,2107,3666,5773
Poland,POL,2011,2407000000,270000000,5.873991996,8613651552,244,3879,0.74438,1661.72046,25857.5,356.9058,3681,14252,17933
Argentina,ARG,1968,0,0,0,0,0,0,0,0,0,0,6856,25367,32223
Antigua and Barbuda,ATG,2016,3425505.981,0,0,0,12,0,0,0,7.8,0,675,1,860
Bangladesh,BGD,1981,0,0,0,0,133,39,0,0,0,0,326,815,1141
Colombia,COL,2002,86300600,4068200,7.17301452,322444561,858,54,0.13962,126.83357,0,0,7116,8180,15296
Comoros,COM,1996,0,0,0.09143771,1873,0,0,0,0,0,0,0,0,0
Caribbean small states,CSS,2002,96757441.29,41030000,4.075285817,50711755,0,0,0,0,0,0,5575,1124,6699
Caribbean small states,CSS,1971,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,DEU,1989,3027419866,1340511286,12.37895986,37372441256,9168,31171,0,0,0,0,18117,24491,42608
Germany,DEU,2011,7400389203,10715812435,14.96353856,1.83E+11,12458,46986,2.79885,4211.25463,100879.4,1734.72672,8127,60614,68741
Dominican Republic,DOM,2013,63700000,0,3.757528451,166882779,256,11,0,0,38.9,0,4165,5248,9413
Finland,FIN,1989,269655817.2,45067697.26,6.904636359,1304454842,4417,1948,0,0,0,0,5341,2399,7740
Finland,FIN,2011,1575604351,3236808753,9.27214927,5357724865,124,1650,3.63639,7413.63475,10345.3,0,1917,3404,5321
Finland,FIN,1974,0,0,0,0,2832,986,0,0,0,0,2338,715,3053
Ghana,GHA,1995,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,GRC,1979,18000000,0,0,0,1378,1346,0,0,0,0,2797,2466,5263
Guyana,GUY,1989,0,0,0,0,0,0,0,0,0,0,160,47,207
High income,HIC,1990,22667450732,26505213664,18.88084562,0,210048,525714,0,0,0,0,316267,593709,975661
High income,HIC,1987,12766695346,15626594998,0,0,194093,481158,0,0,0,0,221504,511512,757160
Honduras,HND,1973,0,0,0,0,57,2,0,0,0,0,749,182,931
IBRD only,IBD,1962,8399996.643,2799998.881,0,0,0,0,0,0,0,0,0,0,0
Ireland,IRL,1997,0,0,46.45530764,20117197732,144,796,1.24331,1901.61499,0,527.18244,3687,1022,4709
Iceland,ISL,1992,0,0,3.718243445,3512826,121,28,0,0,0,0,1042,218,1260
Iceland,ISL,1985,0,0,0,0,71,21,0,0,0,0,487,149,636
Lao PDR,LAO,2005,0,0,0,0,0,0,0,0,23.3,0,0,0,0
Lao PDR,LAO,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America & Caribbean,LCN,1975,236111828.2,143000000,0,0,0,0,0,0,0,0,19912,64196,84108
Morocco,MAR,2014,111106151.9,1517744.135,5.313836936,869791832,742,355,0,1032.5418,3175.5,41.68484,5077,6165,11242
Madagascar,MDG,1987,130937.387,0,0,0,0,0,0,0,0,0,0,0,0
Mali,MLI,2016,0,0,4.708347853,7294354,0,0,0,0,87.3,0,0,0,0
Malta,MLT,2017,521136284.1,331387723.8,0,0,0,0,0,0,0,0,0,0,0
Montenegro,MNE,2017,5131370.605,510347.5526,0,0,0,0,0,0,0,0,0,0,0
Namibia,NAM,2010,5980160.247,59344.40941,1.168325137,29720410,0,0,0.14165,0,39,0,719,0,719
Nigeria,NGA,2014,250524755.3,0,2.10433253,139618952,0,0,0,0,3994.7,0,0,0,0
Nigeria,NGA,2017,252424281.9,0,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,2009,317624196.9,124282336.8,15.80276311,3807911617,2358,1246,1.72364,5439.12673,8751,0,9371,3443,12814
New Zealand,NZL,1977,0,0,0,0,2080,1055,0,0,0,0,2377,1471,3848
OECD members,OED,1980,6163255227,10110660001,0,0,237551,333509,0,0,0,0,119235,325167,459937
Panama,PAN,2014,98700000,8300000,0,0,274,13,0,0,170.6,0,5482,3397,8879
"Korea, Dem. People’s Rep.",PRK,2000,0,0,0,0,0,0,0,0,0,0,2382,0,2382
Sudan,SDN,1990,0,0,0,0,0,0,0,0,0,0,1620,0,1620
Somalia,SOM,1975,0,0,0,0,16,0,0,0,0,0,205,27,232
Suriname,SUR,1981,0,0,0,0,0,0,0,0,0,0,337,20,357
Togo,TGO,1999,781225.7238,0,0.665542437,288615,0,0,0,0,0,0,0,0,0
Thailand,THA,1978,19772184.99,0,0,0,0,0,0,0,0,0,1781,3799,5580
South Asia (IDA & IBRD),TSA,1974,0,0,0,0,3168,1358,0,0,0,0,6627,9661,16288
Turkey,TUR,1992,0,0,1.175220658,123364670,1063,189,0,0,0,0,2279,9743,12022
Uruguay,URY,1976,0,0,0,0,151,119,0,0,0,0,1103,1768,2871
World,WLD,1967,99393357.25,68840882.25,0,0,0,0,0,0,0,0,0,0,0
Latvia,LVA,2012,43707389.44,10282022.96,9.777651216,675108657,12,193,0.66537,1916.45926,1194.4,0,1989,1297,3286
Uganda,UGA,1992,0,0,0,0,11,0,0,0,0,0,223,26,249
Zimbabwe,ZWE,1984,7423387.866,624962.3282,0,0,191,34,0,0,0,0,546,142,688
Albania,ALB,2005,4204267.362,505314.458,4.222699697,3607944,386,0,0,0,26.2,0,3062,147,3209
United Arab Emirates,ARE,2012,0,0,3.710691315,486535642,1331,20,0,0,1645.5,0,12668,4130,16798
Argentina,ARG,1978,71000000,4000000,0,0,2862,1574,0,0,0,0,4198,21266,25464
Austria,AUT,1963,0,0,0,0,7945,2586,0,0,0,0,1052,1935,2987
Austria,AUT,1964,0,0,0,0,8479,2623,0,0,0,0,1005,1899,2904
Benin,BEN,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,2008,0,0,2.528276136,37433131,0,0,0,0,165.6,0,4949,503,5452
China,CHN,1992,0,0,6.435049262,4303337959,4387,10022,0,0,0,0,10981,79837,90818
China,CHN,1981,0,0,0,0,0,0,0,0,0,0,0,0,23004
Comoros,COM,2012,0,0,0.321442286,6521,0,0,0,0,1.6,0,0,0,1
Cuba,CUB,1972,0,0,0,0,49,144,0,0,0,0,232,8,240
Germany,DEU,1966,0,0,0,0,30607,36861,0,0,0,0,3001,20388,23389
Germany,DEU,1986,1927426971,920418045.6,0,0,10945,32169,0,0,0,0,11842,20551,32393
Ecuador,ECU,1981,28000000,0,0,0,180,14,0,0,0,0,1747,691,2438
"Egypt, Arab Rep.",EGY,2009,284500000,0,0.835874212,85283582,1452,490,0.43404,437.05784,6105.2,245.76578,6933,10273,17206
"Egypt, Arab Rep.",EGY,2016,187700000,0,0.486580792,52091847,1231,918,0,0,10807,0,11315,10791,22106
Fragile and conflict affected situations,FCS,2004,17194593.44,518002.0243,0,0,0,0,0,0,1522.180689,0,0,0,0
Faroe Islands,FRO,2001,3090000,20000,0.520898426,70646,0,0,0,0,0,0,0,0,0
United Kingdom,GBR,1995,5198358488,6080093957,27.03304541,51570249515,8891,18630,0,0,0,0,17269,19474,36743
"Gambia, The",GMB,1990,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,1971,0,0,0,0,231,45,0,0,0,0,970,909,1879
Guatemala,GTM,1982,400000,100000,0,0,168,17,0,0,0,0,1143,2713,3856
High income,HIC,2004,1.20E+11,1.47E+11,21.70427047,1.11E+12,387180,781733,2.206083379,3368.017642,1035208.297,0,405362,886816,1342850
IBRD only,IBD,1993,1905343120,353137029.7,0,0,55145,67381,0,0,0,0,207257,389501,602366
Italy,ITA,1988,779672190.9,113099275.7,7.207833055,8109122375,8000,2289,0,0,0,0,9427,1,39479
Italy,ITA,1990,1962163128,1043013006,7.79216176,11561564013,0,0,0,0,0,0,11414,0,36633
Jordan,JOR,2004,0,0,1.904319405,42689482,141,42,0,0,740.9,0,3051,3206,6257
Kenya,KEN,2004,50346909.84,16631622.27,3.204222365,16681960,53,31,0,0,439.3,0,1876,778,2654
Kenya,KEN,1975,0,0,0,0,101,0,0,0,0,0,559,203,762
"Korea, Rep.",KOR,1977,3000000,0,0,0,1962,1177,0,0,0,0,2733,6682,9415
Kuwait,KWT,2010,0,0,3.010949838,123864653,0,0,0.1014,133.02945,748.6,28.43627,0,0,0
Latin America & Caribbean (excluding high income),LAC,1978,241558000,169200000,0,0,0,0,0,0,0,0,30183,55037,85220
Liberia,LBR,1979,0,0,0,0,0,0,0,0,0,0,0,0,0
Low & middle income,LMY,1968,45799984.9,13599997.76,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,1989,1406811.799,0,0,0,14,0,0,0,0,0,0,0,98
Middle East & North Africa,MEA,1999,815577676.2,316133819.3,7.033412083,6726206662,6911,3237,0,0,0,0,22423,0,45032
Mauritius,MUS,1974,0,0,0,0,21,2,0,0,0,0,0,0,252
Nigeria,NGA,2009,208410822.1,0,2.527707198,45296900,0,0,0,0,3001.9,0,0,0,0
Netherlands,NLD,1988,1412099329,862578318.2,14.59318891,9000158840,1068,2158,0,0,0,0,0,0,0
Norway,NOR,1995,375298594.1,110777755.3,13.53546367,1508325684,4280,1128,0,0,0,0,6066,2117,8183
OECD members,OED,1985,7300939716,9624993358,0,0,200338,439107,0,0,0,0,173946,401068,593964
Pakistan,PAK,2004,86000000,10000000,1.163166548,120554724,1008,73,0,0,1685,0,5171,8421,13592
Panama,PAN,1986,13800000,0,0,0,83,11,0,0,0,0,1417,1077,2494
Philippines,PHL,1982,23000000,0,0,0,1514,134,0,0,0,0,1829,1938,3767
Puerto Rico,PRI,2007,0,0,0,0,0,0,0,0,639.6,0,0,0,0
Portugal,PRT,2001,250734264.9,20574123.38,7.801069756,1622596398,56,107,0.76355,1717.47285,0,278.42888,9114,7192,16306
Pacific island small states,PSS,1974,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2012,4000,0,0,3394943,0,0,0,0,270.4,0,1771,847,2618
Singapore,SGP,1997,1905703720,43305325.56,57.01658868,59752080267,6048,288,1.41246,2656.36433,0,374.99134,0,0,15873
Solomon Islands,SLB,1984,0,0,0,0,12,0,0,0,0,0,37,0,37
Sub-Saharan Africa (excluding high income),SSA,1981,319192512.4,42463162.72,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,2015,1793930.522,1271964.597,7.205510737,1229820,0,0,0,0,19,0,0,0,0
South Asia (IDA & IBRD),TSA,1967,0,0,0,0,5462,1238,0,0,0,0,2795,7251,10046
Trinidad and Tobago,TTO,2000,0,0,0.913290638,11250989,154,0,0.108,0,0,0,1754,366,2120
Tanzania,TZA,2004,582830.04,0,0.820967119,1106791,3,0,0,0,182.4,0,382,26,408
Uganda,UGA,1969,0,0,0,0,80,0,0,0,0,0,505,55,560
Uruguay,URY,1985,0,0,0,0,105,63,0,0,0,0,2689,2754,5443
"Venezuela, RB",VEN,1981,0,0,0,0,1980,176,0,0,0,0,4338,7518,11856
Vanuatu,VUT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,1990,0,0,0,0,50,7,0,0,0,0,311,14,325
Late-demographic dividend,LTE,2006,37746457043,1868848063,22.07232704,4.24E+11,134843,170365,1.030114478,1057.194758,306080.99,0,261381,925337,1199194
Tanzania,TZA,1964,0,0,0,0,76,0,0,0,0,0,443,58,501
Australia,AUS,2006,2151687683,641546473.1,12.31833221,3371725564,23166,2837,2.18208,4231.77886,33100.4,1013.84397,19041,40239,59280
Australia,AUS,2014,3973566695,851550055.5,13.5987282,4691411621,23968,1988,0,0,52643.6,0,22969,41682,64651
Burundi,BDI,1964,0,0,0,0,0,0,0,0,0,0,22,0,22
Belarus,BLR,2008,75200000,4700000,2.431325923,418870600,220,1510,0.74028,0,1037.8,0,6930,3487,10417
Belarus,BLR,2015,132700000,22300000,4.314920044,560689500,148,543,0.51672,0,970.4,0,5685,1726,7411
Bhutan,BTN,2013,39214.89741,15779.25019,0,0,4,3,0,0,29.3,0,740,13,753
Chile,CHL,1965,0,0,0,0,932,188,0,0,0,0,1709,7254,8963
Cote d'Ivoire,CIV,2008,21161207.65,297004.1069,11.85987579,137671782,0,0,0,0,170.6,0,0,0,0
Cameroon,CMR,1983,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,1996,23570000,2190000,4.20282767,29619791,0,0,0.30418,0,0,0,5501,3990,9491
Dominican Republic,DOM,1963,0,0,0,0,70,15,0,0,0,0,624,128,752
East Asia & Pacific (excluding high income),EAP,2003,5883111486,140411899.9,32.72106704,0,63559,58534,1.008660541,615.5633367,91885.64881,0,84590,481839,566429
East Asia & Pacific (excluding high income),EAP,1982,60484075.75,456000.1244,0,0,0,0,0,0,0,0,8150,33410,41560
Early-demographic dividend,EAR,1996,1940327940,456389211.3,10.44605811,0,39371,7885,0,0,0,0,0,0,337788
East Asia & Pacific,EAS,2007,49769051766,27453168648,27.18764344,0,270366,629915,2.377470535,1454.241375,456740.8775,0,260102,992567,1252669
Euro area,EMU,1970,124793370.1,101323756.8,0,0,151306,65919,0,0,0,0,29905,83384,113289
Estonia,EST,2007,40334851.34,10655363.34,5.801621676,440670804,19,44,1.06884,2745.05982,1014.9,598.85451,3118,1538,4656
Finland,FIN,2013,1918003189,3533570483,7.214471688,3724745015,141,1596,3.29266,7187.92619,10824.1,0,1664,3477,5141
Grenada,GRD,2010,5502012.222,67444.07407,0,0,0,0,0,0,15.6,0,0,0,0
Grenada,GRD,1989,370370.3704,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,GRL,2005,0,0,7.356862583,775427,0,0,0,0,16.4,0,0,0,0
"Hong Kong SAR, China",HKG,2001,491103104.2,195672003.3,19.78441362,3716465005,8840,74,0.53692,1338.25044,0,169.96907,15487,5458,20945
Honduras,HND,2011,35154664.84,0,1.632108456,11395287,253,2,0,0,18.9,0,5308,2089,7397
